Initializing camera...
Camera initialized
Attempting to start camera capture feed...
Camera capture started successfully
Marker A4: [202, 312], 2017-06-27 19:34:19.914850
Marker A3: [500, 293], 2017-06-27 19:34:19.915022
Marker A2: [355, 254], 2017-06-27 19:34:19.915124
Marker A1: [444, 160], 2017-06-27 19:34:19.915223
Marker A5: [416, 379], 2017-06-27 19:34:19.948765
Marker A4: [201, 307], 2017-06-27 19:34:19.948978
Marker A3: [499, 289], 2017-06-27 19:34:19.949081
Marker A2: [353, 249], 2017-06-27 19:34:19.949177
Marker A1: [443, 156], 2017-06-27 19:34:19.949271
Marker A5: [414, 369], 2017-06-27 19:34:19.981816
Marker A4: [199, 297], 2017-06-27 19:34:19.982012
Marker A3: [496, 279], 2017-06-27 19:34:19.982113
Marker A2: [351, 240], 2017-06-27 19:34:19.982361
Marker A1: [441, 146], 2017-06-27 19:34:19.982461
Marker A5: [418, 363], 2017-06-27 19:34:20.014786
Marker A4: [202, 291], 2017-06-27 19:34:20.014974
Marker A3: [500, 272], 2017-06-27 19:34:20.015076
Marker A2: [355, 232], 2017-06-27 19:34:20.015171
Marker A1: [445, 138], 2017-06-27 19:34:20.015270
Marker A5: [418, 365], 2017-06-27 19:34:20.047222
Marker A4: [203, 293], 2017-06-27 19:34:20.047418
Marker A3: [501, 274], 2017-06-27 19:34:20.047529
Marker A2: [355, 235], 2017-06-27 19:34:20.047624
Marker A1: [445, 141], 2017-06-27 19:34:20.047717
Marker A5: [408, 366], 2017-06-27 19:34:20.080608
Marker A4: [193, 294], 2017-06-27 19:34:20.080804
Marker A3: [490, 276], 2017-06-27 19:34:20.080904
Marker A2: [345, 236], 2017-06-27 19:34:20.081000
Marker A1: [435, 142], 2017-06-27 19:34:20.081093
Marker A5: [403, 371], 2017-06-27 19:34:20.113147
Marker A4: [188, 299], 2017-06-27 19:34:20.113337
Marker A3: [485, 281], 2017-06-27 19:34:20.113442
Marker A2: [340, 241], 2017-06-27 19:34:20.113537
Marker A1: [430, 147], 2017-06-27 19:34:20.113630
Marker A5: [401, 369], 2017-06-27 19:34:20.145749
Marker A4: [186, 297], 2017-06-27 19:34:20.145922
Marker A3: [483, 278], 2017-06-27 19:34:20.146020
Marker A2: [338, 239], 2017-06-27 19:34:20.146113
Marker A1: [428, 145], 2017-06-27 19:34:20.146213
Marker A5: [396, 368], 2017-06-27 19:34:20.178464
Marker A4: [180, 297], 2017-06-27 19:34:20.178689
Marker A3: [477, 277], 2017-06-27 19:34:20.178805
Marker A2: [332, 238], 2017-06-27 19:34:20.178905
Marker A1: [422, 144], 2017-06-27 19:34:20.179002
Marker A5: [395, 366], 2017-06-27 19:34:20.217515
Marker A4: [180, 295], 2017-06-27 19:34:20.217754
Marker A3: [477, 275], 2017-06-27 19:34:20.217878
Marker A2: [332, 236], 2017-06-27 19:34:20.217979
Marker A1: [421, 141], 2017-06-27 19:34:20.218077
Marker A5: [391, 380], 2017-06-27 19:34:20.253027
Marker A4: [175, 309], 2017-06-27 19:34:20.253252
Marker A3: [472, 288], 2017-06-27 19:34:20.253360
Marker A2: [327, 249], 2017-06-27 19:34:20.253458
Marker A1: [416, 154], 2017-06-27 19:34:20.253556
Marker A5: [391, 392], 2017-06-27 19:34:20.286744
Marker A4: [175, 321], 2017-06-27 19:34:20.286986
Marker A3: [472, 301], 2017-06-27 19:34:20.287105
Marker A2: [327, 262], 2017-06-27 19:34:20.287207
Marker A1: [416, 167], 2017-06-27 19:34:20.287302
Marker A5: [396, 391], 2017-06-27 19:34:20.318657
Marker A4: [181, 320], 2017-06-27 19:34:20.318849
Marker A3: [478, 299], 2017-06-27 19:34:20.318958
Marker A2: [332, 261], 2017-06-27 19:34:20.319053
Marker A1: [421, 167], 2017-06-27 19:34:20.319146
Marker A5: [406, 388], 2017-06-27 19:34:20.351641
Marker A4: [191, 318], 2017-06-27 19:34:20.351832
Marker A3: [488, 297], 2017-06-27 19:34:20.351935
Marker A2: [342, 259], 2017-06-27 19:34:20.352030
Marker A1: [431, 164], 2017-06-27 19:34:20.352125
Marker A5: [405, 387], 2017-06-27 19:34:20.386970
Marker A4: [191, 316], 2017-06-27 19:34:20.388182
Marker A3: [488, 296], 2017-06-27 19:34:20.388308
Marker A2: [342, 257], 2017-06-27 19:34:20.388407
Marker A1: [432, 163], 2017-06-27 19:34:20.388502
Marker A5: [399, 382], 2017-06-27 19:34:20.424708
Marker A4: [184, 311], 2017-06-27 19:34:20.424888
Marker A3: [481, 290], 2017-06-27 19:34:20.424991
Marker A2: [336, 252], 2017-06-27 19:34:20.425086
Marker A1: [426, 157], 2017-06-27 19:34:20.425180
Marker A5: [390, 378], 2017-06-27 19:34:20.459249
Marker A4: [175, 309], 2017-06-27 19:34:20.459454
Marker A3: [471, 287], 2017-06-27 19:34:20.459562
Marker A2: [326, 249], 2017-06-27 19:34:20.459658
Marker A1: [415, 154], 2017-06-27 19:34:20.459761
Marker A5: [390, 377], 2017-06-27 19:34:20.494640
Marker A4: [175, 308], 2017-06-27 19:34:20.494867
Marker A3: [471, 285], 2017-06-27 19:34:20.494972
Marker A2: [326, 248], 2017-06-27 19:34:20.495068
Marker A1: [415, 153], 2017-06-27 19:34:20.495164
Marker A6: [385, 377], 2017-06-27 19:34:20.532640
Marker A5: [639, 368], 2017-06-27 19:34:20.532811
Marker A4: [169, 308], 2017-06-27 19:34:20.532965
Marker A3: [466, 285], 2017-06-27 19:34:20.533065
Marker A2: [320, 248], 2017-06-27 19:34:20.533161
Marker A1: [409, 153], 2017-06-27 19:34:20.533257
Marker A5: [386, 377], 2017-06-27 19:34:20.566661
Marker A4: [170, 308], 2017-06-27 19:34:20.566858
Marker A3: [467, 284], 2017-06-27 19:34:20.566956
Marker A2: [321, 247], 2017-06-27 19:34:20.567052
Marker A1: [410, 151], 2017-06-27 19:34:20.567147
Marker A5: [386, 388], 2017-06-27 19:34:20.598880
Marker A4: [170, 319], 2017-06-27 19:34:20.599064
Marker A3: [467, 296], 2017-06-27 19:34:20.599165
Marker A2: [321, 258], 2017-06-27 19:34:20.599257
Marker A1: [410, 162], 2017-06-27 19:34:20.599350
Marker A6: [384, 398], 2017-06-27 19:34:20.631336
Marker A5: [639, 391], 2017-06-27 19:34:20.631486
Marker A4: [169, 328], 2017-06-27 19:34:20.631604
Marker A3: [466, 306], 2017-06-27 19:34:20.631700
Marker A2: [320, 268], 2017-06-27 19:34:20.631796
Marker A1: [409, 173], 2017-06-27 19:34:20.631892
Marker A6: [385, 400], 2017-06-27 19:34:20.666895
Marker A5: [639, 392], 2017-06-27 19:34:20.667063
Marker A4: [170, 330], 2017-06-27 19:34:20.667184
Marker A3: [467, 308], 2017-06-27 19:34:20.667280
Marker A2: [321, 270], 2017-06-27 19:34:20.667372
Marker A1: [410, 175], 2017-06-27 19:34:20.667465
Marker A5: [395, 394], 2017-06-27 19:34:20.702333
Marker A4: [179, 324], 2017-06-27 19:34:20.702539
Marker A3: [476, 302], 2017-06-27 19:34:20.702639
Marker A2: [331, 264], 2017-06-27 19:34:20.702732
Marker A1: [420, 169], 2017-06-27 19:34:20.702833
Marker A6: [385, 393], 2017-06-27 19:34:20.737564
Marker A5: [639, 386], 2017-06-27 19:34:20.737740
Marker A4: [170, 323], 2017-06-27 19:34:20.737863
Marker A3: [467, 301], 2017-06-27 19:34:20.737960
Marker A2: [322, 263], 2017-06-27 19:34:20.738053
Marker A1: [411, 168], 2017-06-27 19:34:20.738146
Marker A6: [381, 388], 2017-06-27 19:34:20.773387
Marker A5: [637, 383], 2017-06-27 19:34:20.773562
Marker A4: [165, 319], 2017-06-27 19:34:20.773681
Marker A3: [462, 297], 2017-06-27 19:34:20.773777
Marker A2: [317, 259], 2017-06-27 19:34:20.773871
Marker A1: [405, 164], 2017-06-27 19:34:20.773965
Marker A6: [379, 391], 2017-06-27 19:34:20.808912
Marker A5: [636, 387], 2017-06-27 19:34:20.809087
Marker A4: [163, 322], 2017-06-27 19:34:20.809205
Marker A3: [461, 299], 2017-06-27 19:34:20.809300
Marker A2: [315, 261], 2017-06-27 19:34:20.809397
Marker A1: [404, 166], 2017-06-27 19:34:20.809491
Marker A6: [372, 403], 2017-06-27 19:34:20.854864
Marker A5: [633, 401], 2017-06-27 19:34:20.855135
Marker A4: [157, 332], 2017-06-27 19:34:20.855294
Marker A3: [454, 311], 2017-06-27 19:34:20.855401
Marker A2: [309, 272], 2017-06-27 19:34:20.855500
Marker A1: [398, 177], 2017-06-27 19:34:20.855604
Marker A6: [366, 410], 2017-06-27 19:34:20.894540
Marker A5: [629, 408], 2017-06-27 19:34:20.894720
Marker A4: [150, 340], 2017-06-27 19:34:20.894834
Marker A3: [448, 318], 2017-06-27 19:34:20.894932
Marker A2: [302, 280], 2017-06-27 19:34:20.895031
Marker A1: [392, 185], 2017-06-27 19:34:20.895127
Marker A6: [360, 414], 2017-06-27 19:34:20.927868
Marker A5: [624, 412], 2017-06-27 19:34:20.928067
